Company,Address,TIFDistrict,CompletionDate,ActualCosts,ActualGrant,WorkItems
George Bazianos,5701-7 W. Irving Park Rd.,West Irving Park,08/09/2016,72840.00,51541.28,"furnish and install a new 40 gallon water heater for the ground floor commercial spaces; remove capstones and flashings at roof deck and parapets; demolish existing portions of face brick parapet at east and south building elevations and rebuild parapet with salvageable face brick and with like-kind replacements to match existing brick when needed; remove and replace the steel lintels and flashings at 2nd floor where parapet is being repaired; clean and reset capstones; dismantle existing chimney cap and deteriorated portion of common brick chimney and tuck point the chimney; remove and replace approximately 200 bricks on the south elevation; fill ground floor opening at southeast corner with common brick; grind out the face brick joints at the north and east building elevations, chemically wash and tuck point the bricks
"
"Liquid NSB, LLC dba Car Care Auto Spa",3616 N. Cicero Ave.,Belmont/Cicero,08/10/2016,167500.00,50000.00,"masonry work and façade improvements including repair damaged parapet walls and tuckpointing work, remove existing façade brick wall and install one (1) garage door and finishes, install a new aluminum storefront system with tempered glass and thermal insulation; plumbing work including new 2” water service, drains, and fixtures; electrical work including new service and subpanel"
"Prodigy Child, Inc. ",1932-4 E. 79th St.,Avalon Park/South Shore,08/24/2016,45222.00,25000.00,"an interior buildout for the daycare center including framing and drywall work, rough plumbing work for restroom and drinking fountain and installing a new furnace with connections to existing duct work"
"4GetMeNot, Inc. dba 4Get Me Not Florist",5535-9 W. Montrose Ave.,West Irving Park,08/24/2016,62810.00,47107.50,"construct new two-foot stone knee wall; build two (2) new columns at doorways; repairs as needed to parapet walls; install new bricks at side “wing walls” of Montrose Avenue elevation; furnish and install new storefront system items (frames, glass, and doors); furnish and install a new canopy with metal roof in connection with masonry work"
"Simply Soups Salads & Sandwiches, Inc.",635 E. 47th St.,43rd/Cottage Grove,08/24/2016,22016.00,16512.00,"frame new wall for kitchen expansion; install sixteen (16) recessed can light fixtures and under cabinet lighting and associated electrical; replace drop ceiling panels; millwork to install cabinets and laminate countertop, install pass-through doors and trims; furnish and install new ceramic tile flooring; and painting"
"Dovetail Brewery, Inc.",1800 W. Belle Plaine,Ravenswood Industrial Corridor ,08/25/2016,275988.40,84007.50,"completion of plumbing and electrical work for the production brewery: furnish and install supply, waste, and gas piping to HVAC equipment, brewing facilities, restrooms, boilers, and hot water heaters, make connections to water and sewer, and install necessary drains and plumbing fixtures (work per plans); install all electrical equipment and make connections to electrical service including all piping, wiring, boxes, breakers, switches, transformers, light fixtures, and fire alarm system (work per plans)"
"Chicago's Indoor Garden, Inc.",4459 W. Divison St.,Northwest Industrial Corridor,08/25/2016,26070.00,13035.00,"furnish and install one (1) ten ton HVAC RTU unit with new controls and wiring, gas piping, and thermostat; furnish and install two (2) air conditioning units on roof for 1st and 2nd floor office spaces"
Magic Apparel Inc.,3965 W. Madison St.,Madison/Austin,08/25/2016,30074.50,22555.88,"remove existing storefront system and interior storefront window bay walls; furnish and install new storefront frames, windows, and door; furnish and install new subflooring and finish flooring (VCT or laminate finish flooring) in storefront window bays; furnish and install new manual, interior-mounted (behind the doorway) security gates; wall patching and repairs in connection with storefront work"
"PAK1CP, Inc. / JJ and Atomic Sub",6454-8 S. Cottage Grove Ave.,Woodlawn,08/25/2016,68500.00,49081.81,"demolish storefront, windows, doors, shutters and steel grates across all three storefronts; install new bronze storefronts systems with new metal paneling, glass windows, and doors; re-finish drywall under overhang at storefront entry and install new porcelain tile at front entry doors; install new plywood for upper facade with metal backing panels to support new masonry veneer system and limestone capping; provide electrical connections for future signage; soft costs and architectural fees"
Workers Education Society ,3339 S. Halsted St. ,35th/Halsted,08/29/2016,24804.25,18603.19,"install foam insulation in the crawl spaces, install baseboard heaters with necessary electrical connections in the office space under windows, concrete repairs to foundation wall in basement, and install a new main circuit panel"
"Major Dickens, LLC",2100 N. Major Ave.,Galewood/Armitage,08/30/2016,182206.72,86716.09,"completion of the facility buildout including electrical work (new subpanels, distribution, and lighting), HVAC work (install new make-up air unit and new ductwork), plumbing work, masonry work (create new openings for overhead doors and install new i-beams), and installation of a vertical conveyor lift system"
Cimba Management Inc. ,3446-50 N. Pulaski Rd. ,Avondale,08/30/2016,113832.29,85374.22,"remove masonry wall and existing storefront openings from the front façade, install new 36” masonry knee wall with matching brick, install two (2) new storefronts systems for two (2) retail spaces with aluminum bronze frames, and new thermal glazed windows and doors; tuck pointing of parapet wall and masonry repairs as needed;  install two (2) new commercial grade metal for restrooms and rear exits; carpentry and framing work for new exterior wall, new ceilings, and subflooring; install new laminate flooring throughout retail areas;  insulate new exterior walls and ceiling and new 5/8 drywall throughout; rough plumbing for both restrooms; rough and finish plumbing for two new restrooms, new pipe connections to gas meters, new hot water heater, drinking fountain, and mop sink; new rough electrical, wiring and light fixtures (interior and exterior); HVAC improvements including new furnace, humidifier and A/C condensing unit on concrete slab in rear of building, tie-ins to existing ductwork; repairs to steel beams as needed; architectural services, painting and finishing work
"
"Shoe Stop 92, Inc.",4717 S. Ashland Ave.,47th/Ashland,08/31/2016,140700.00,100000.00,"roof patching at section of roof associated with HVAC improvements; additional roofing repairs (caulking, new silver coating, drains, termination bars) for flat roof at 2nd floor; tuck point the alley-side and façade elevations of building and repairs to existing clay copings and flashings as needed; upgrade electrical system to 3-phase 400 amp service and install new conduit and new wall outlets, emergency lights, exit signs, and wiring as needed; furnish and install two (2)  HVAC furnace units; furnish and install a new drop ceiling at 2nd floor office space; install new outlets and switches at 2nd floor office space and incidental wall repairs, patching, and painting; and furnish and install new 2nd floor fluorescent light fixtures"
"Stellar Recognition, Inc. dba Sports Awards, Inc. ",5544 W Armstrong,Elston/Armstrong,10/18/2016,35980.00,17990.00,"furnish and install an HVAC roof top unit (7.5 ton unit with associated piping); electrical work associated with build-out of new interior office space including reconfiguration of circuit panels, furnish and install a new 2” pipe with wiring from rear of the building into the computer room for internet and one (1) 20 amp power line and ground bar, and furnish and install electrical switches, light fixtures, data stubs, feeders, and outlets. "
Laura Llamedo,4420-4 W. Armitage Ave.,Armitage/Pulaski,12/15/2016,76027.15,38013.58,"remove and replace three (3) complete commercial storefront systems (frames, glass, and doors); and furnish and install HVAC improvements for the three commercial units (furnish and install three (3) new gas furnaces, new 3-ton central a/c condenser unit, and associated duct work)"
"Small Batch, LLC dba Antique Taco Bridgeport",1000 W. 35th St.,35th/Halsted,09/01/2016,486000.00,100000.00,"remove and replace interior concrete floors; rough carpentry to frame out new interior walls for ADA-compliant restroom build-out; install insulation; interior painting; furnish and install a new hot water tank; furnish and install HVAC system improvements (two rooftop units; duct work; supply plenums; exhaust flues and fans; make-up air units; kitchen hood); furnish and install new fire protection system (""ANSUL"" system); electrical system improvements (furnish and install 3-phase 4-wire 400 amp service and panel; furnish and install two 100 amp panels; conduits; outlets, electrical associated with HVAC work; light switches; furnish and install twelve (12) recessed ""can"" light fixtures); furnish and install a new drop ceiling system; furnish and install new epoxy flooring systems; furnish and install new fiberglass reinforced paneling in kitchen; furnish and install a new storefront system (frames, glass, door); exterior painting; demolition and masonry to construct new door openings; and plumbing system improvements (natural gas piping; relief and shut off valves; plumbing supply risers; interior downspouts and drains)"
Howe Corporation,1638-50 N. Elston Ave.,North Branch (South),09/08/2016,335716.00,150000.00,"masonry work at 1650 N. Elston (grind out joints between limestone at front building elevation; furnish and install new backer rod and caulking at front elevation; remove and replace sills at front elevation; grind out and tuck point all joints at front elevation below the sill height; replace bricks at vertical crack); demolish old windows, frames, and entry door; furnish and install new windows, frames, and entry door; furnish and install new wood interior sills; furnish and install two (2) new energy-efficient 5-ton rooftop HVAC units; furnish and install a new energy-efficient boiler system; furnish and install a new energy-efficient hot water heater and coil for existing air handler; plumbing to furnish and install new hot water supply and return lines; associated duct work, piping, diffusers, and gas line connections; and incidental roof patching, structural steel reinforcement, and electrical wiring for the HVAC improvements"
"Ladybug & Friends Day Care and Preschool EW, LLC",5425-7 N. Broadway,Bryn Mawr Broadway,09/09/2016,186104.02,50000.00,"plumbing work for sprinkler distribution system; install HVAC duct work; masonry to construct openings at east wall for windows and window installation at east wall; electrical work for alarm system conduit piping; furnish and install suspended ceiling system; construct entry vestibule at west elevation; rough carpentry to frame out interior walls for classrooms; drywall and painting for new interior walls; furnish and install interior and exterior doors and associated hardware; furnish and intall fixed interior window in walls that separate classrooms; furnish and install sixty (60) fluorescent light fixtures; ADA-compliant bathroom fixture installation (grab bars, lavatory sinks, toilets); and furnish and install ceramic tile in bathrooms"
"Skolnik Industries, Inc.",4950 S. Kilbourn Ave. ,Midway Industrial Corridor,09/14/2016,123498.00,61749.00,"re-roofing to install a new 60 mil TPO membrane, flashings, and new copings at east warehouse roof of 4950 S. Kilbourn; reroof the dock area canopy roof with a new metal roof system with new gutters and downspouts"
Dae Y. Kim,1937 & 1941 E. 79th St.,Avalon Park/South Shore,09/20/2016,110133.33,82600.00,"interior and exterior renovations to vacant commercial space at 1937 E. 79th including a new storefront system, install new drop ceilings, drywall and vinyl title flooring throughout space, new plubming fixtures for restroom, new light fixtures, and install five (5) new HVAC roof top units
"
Japanese American Service Committee of Chicago,4427 N. Clark St.,Clark/Montrose,09/21/2016,77850.00,58387.50,"complete removal and replacement of approx. 8,600 sq. ft. of the roofing system at 4427 N. Clark (demolition; replace damaged decking as needed; furnish and install new insulation; furnish and install new EPDM roofing membrane; furnish and install flashings and reinstall clay copings at parapets); chimney restoration (grind out and re-point masonry joints)"
Austin Childcare Providers' Network,5714 W. Division ,Austin Commercial,09/21/2016,66666.67,50000.00,"complete gut rehabilitation for new office space including install new electrical system with wiring, and connections; masonry work including exterior tuckpointing and repairs; complete roof tear off with new insulation, modified bitumen membrane and replace flashing along parapet wall; "
"Element Bars, Inc.",5001-17 W. Belmont Ave.,Belmont/Cicero,09/21/2016,104970.00,52485.00,tuck point the east and north elevations; power wash and apply anti-graffiti coating at north and east elevations in connection with tuck pointing; repair roof leak at vent packaging area; remove and replace metal door and frame; demolish existing window sashes; remove and replace window lintels; and furnish and install twenty-three (23) new windows and frames around building perimeter
"Vent Products Co., Inc.",1901 S. Kilbourn Ave.,Roosevelt/Cicero,09/22/2016,450531.00,150000.00,"demolish existing roofing to decking; furnish and install new roofing insulation, bitumen base sheet and membrane, flashings, pitch pans, gutters, downspouts, and steel caps at 1901 S. Kilbourn only"
Illinois Engraving & Manufacturing Co.,4530 N. Ravenswood Ave.,Ravenswood Industrial Corridor ,09/23/2016,7834.21,3917.11,"flooring work including patching and prepping existing floors in office spaces, restroom, and entry vestibule and installing a 12” x 12” VCT (vinyl) tile finish; and painting of offices, restroom, and entryway"
"Midco International, Inc. ",4140 W. Victoria St. ,Peterson/Pulaski,09/28/2016,112238.31,55598.95,a lighting retrofit in manufacturing and warehouse space including removal of high wattage fixtures and installation of high efficiency LED fixtures
"All Things are Possible for Kids, Inc. ",4014 W. Chicago Ave.,Northwest Industrial Corridor,11/23/2016,86000.00,64500.00,"complete roof replacement with decking repairs, new insulation, modified white granulate membrane, termination bars, flashings, gravel stop, and new gutters and flashing; masonry work including tuck-pointing, chimney repairs, parapet wall repairs, and repair and replacement of coping stones; furnish and install three (3) HVAC rooftop units with curb adapters and all necessary connections"
 Broadway Animal Hospital,6320 N. Broadway St. ,Devon/Sheridan,09/28/2016,110000.00,51636.87,"façade renovations including removal of existing stone work on lower façade, furnish and install new face brick to match brick on upper façade, tuck pointing, removal and rebuilding of architectural sheet metal coping on front eave, and furnish and install new aluminum storefront frame with insulated glass panels, doors, windows, and hardware;  interior renovations including demolition of front reception area including flooring, ceilings and reception desk, furnish and install 16 gauge framing for the new exterior wall, exterior sheathing, new insulation, and 5/8” drywall throughout the reception area; furnish and install new 2’x2’-15/16 Armstrong grid and Glacier style ceiling tile in the reception area, and new vinyl wood plank flooring; disconnect and dispose of the 2 existing cast iron radiators and extend the piping thru the basement to the outside wall and install 2-3’ long base board radiators; install new lighting and electrical fixtures; prime and paint the reception room walls"
Ana de Luna ,3645 W. Armitage Ave.,Fullerton/Milwaukee,10/03/2016,40575.00,30431.25,"remove and replace storefront system (frames, glass, and one commercial door); furnish and install a new 3.5-ton HVAC system for the commercial space only; tuck point the sides of the the bulding; install new brick façade with materials that match original in terms of size, color, texture, and finish"
Andersonville Physical Therapy,5414 N Broadway,Bryn Mawr Broadway,10/03/2016,107334.32,78192.24,"HVAC system improvements (rework ductwork to add separate supply and returns); carpentry and drywall for the reconfigured office and new treatment room, repair drop ceiling as needed, install new door and lockset; remove a dividing wall in front office, repair drywall as needed; construct new walls for a closet, install new door and lockset, install foam spray insulation as needed to stop drafts; partially close four windows with drywall; paint all walls, trim, and doors; electrical work including remove existing ceiling lights and install two new wall sconces in four treatment rooms, new light switches and fixtures in new office, treatment room and closet; remove carpeting and padding, smooth out concrete floors, install ¼” cork underlayment and install floating vinyl floors with wood base boards; install two wood and glass sliding doors to close off room; install glass in existing opening between rear and front rooms; grind joints and tuck-point all exposed masonry walls at side and rear of building; and roof repair to seal a leak. "
Dae Y. Kim,1937 & 1941 E. 79th St. (1945 E. 79th St. Ineligible) ,Avalon Park/South Shore,10/03/2016,12366.67,9275.00,"interior and exterior renovations to vacant commercial space at 1937 E. 79th including a new storefront system, install new drop ceilings, drywall and vinyl title flooring throughout space, new plubming fixtures for restroom, new light fixtures, and install five (5) new HVAC roof top units"
L P Electronics,6027 W. Irving Park Rd.,West Irving Park,10/04/2016,80225.00,60168.75,"removal of the false-front along the lower façade and replacement with bricks to match existing upper façade; replacement of bricks on the west elevation; plumbing work including connections to new drain, concrete cutting, patching work and relocation of the commercial sink; installation of new electrical meters and electrical panels with necessary wiring; and installation of ventilation work (supply and return) for the furnace with new wiring"
George Bazianos,5701-7 W. Irving Park Rd.,West Irving Park,10/04/2016,7000.00,5250.00,"install new gutters, downspouts, flashings, and reflective aluminum roof coating"
"Chicago's Indoor Garden, Inc.",4459 W. Divison St.,Northwest Industrial Corridor,10/04/2016,78898.75,39449.38,"repair roof surface and prepare for new fully adhered membrane with new insulation, new flashings, and a new termination bar around perimeter to secure"
Advance Equipment Manufacturing Co.,4612 W. Superior St.,Northwest Industrial Corridor,10/06/2016,118990.00,59495.00,"installation of an automatic sprinkler system (furnished and installed a new 8” water service into the building, one (1) backflow preventer detector, new fire department connection, new sprinkler lines, new inspector’s test connection and drain line, new control valve, installed sixty-two (62) upright sprinkler heads, and five (5) new pendent sprinkler heads)"
"Chicago Diversified Projects, Inc.",6015 N. Ridge Ave.,Clark/Ridge,10/12/2016,160570.00,100000.00,"demolish existing damaged portion of shop area roof, decking, insulation, and drywall; replace four (4) damaged joists and replace roof, decking, insulation, and drywall; remove and replace existing face brick and coping at southeast of building; demolish existing storefront system and replace with a new storefront system (frames, door, glass); repairs to soffit and fascia at front of building and to damaged section of garage at opening; install new exterior light affixed to building; HVAC system improvements (demolish existing HVAC items; furnish and install one (1) new furnace and one (1) new condenser; furnish and install steam humidifier; thermostats, cooling coils, and filters); demolish existing hot water heater; furnish and install one (1) new 40 gallon water heater and associated venting and roofing work; remove existing employee bathroom sink, light fixtures, tile, drywall, and counter; plumbing to install three (3) new ball stop valves, new hand sink, and new shower mixer; install new insulation in bathroom walls and ceilings; install cement board and moisture-resistant drywall; install new ceramic and porcelain tile at walls and floors; install two (2) new can-style LED light fixtures and two (2) new round LED lights; painting of bathrooms; demolish existing employee kitchen area; plumbing to install new stop valves and a new sink; install a new light switch; furnish and install new cabinets; install new porcelain floor tile; demolish existing ground floor foyer and office areas; furnish and install eight (8) new flat-style LED light fixture, new light switches, new electrical outlets, and install new insulation and drywall in walls in ceiling in ground floor foyer and office areas; install new floor tile and painting of ground floor foyer and office; demolish existing second floor office area and stairway; furnish and install eight (8) new flat-style LED light fixture, new light switches, new electrical outlets, and install new insulation and drywall in walls in ceiling in second floor office area; painting of second floor office; install new oak hardwood flooring on at second floor and stairs; permit expenses"
Jane Addams Development Corporation - 4222 N. Ravenswood,4222 N. Ravenswood Ave.,Ravenswood Industrial Corridor ,10/17/2016,177540.00,88770.00,"removal and replacement of the approximately 14,100 sq. ft. roofing system at 4222 N. Ravenswood/4229 N. Honore: demolition to decking and replacement of decking as needed; furnish and install new insulation and TPO roofing membrane over the installation; furnish and install new flashings, caulking, scupper boxes, and downspouts"
Allied Metal Co.,4528 W. Division St.,Northwest Industrial Corridor,10/18/2016,444760.00,150000.00,demolition of existing roofing; install new metal and wood decking; install new insulation and base sheet; install new roofing membrane and flashings; and remove deteriorated metal panels at “penthouse” roof structure and replace with new metal panels and flashings
"Pilates Chicago, Inc. ",6101 N. Clark St. ,Clark/Ridge,12/15/2016,10634.52,6381.77,Exterior awnings (frame only)
"Bristerloo, LLC dba Orange Shoe Personal Fitness - Andersonville",5607-9 N. Clark St.,Clark/Ridge,10/20/2016,129061.00,25000.00,"demolition; furnish and install new plywood subfloor and sistering to reinforce existing floor joists; partial completion of the HVAC renovations (furnish and install new HVAC ductwork, registers, diffusers, and controls throughout the interior); interior tuck pointing of exposed brick as needed; partial completion of the electrical system improvements (rough electrical to reconfigure the power distribution; furnish and install electrical outlets); partial completion of drywall installation (furnish and install drywall at ceilings for code-required fire separation)"
"Skolnik Industries, Inc.",4950 S. Kilbourn Ave. ,Midway Industrial Corridor,10/20/2016,36573.50,18285.75,"balance of expenses for re-roofing to install a new 60 mil TPO membrane, flashings, and new copings at east warehouse roof of 4950 S. Kilbourn; reroof the dock area canopy roof with a new metal roof system with new gutters and downspouts; furnish and install new black metal frames and glass for four (4) windows; and replace glass only in four (4) existing windows"
Nima Corporation dba Noon O Kabab ,4701 N. Kedzie Ave. ,Lawrence/Kedzie,10/24/2016,346895.00,87532.50,"installation of new aluminum fascia on the façade, recessed exterior lighting, and exterior flood lights; interior renovations including rough carpentry, framing, and drywall, installation of acoustical ceiling, installation of ceramic tile in restrooms, new doors and windows; plumbing work including installation of fixtures and hot water tank; electrical work including new wiring, switches, outlets, fluorescent and recessed lighting; completion of HVAC work including ductwork, vents and registers; installation of epoxy flooring throughout dining area; and installation of fire suppression system for kitchen exhaust hood. "
"Mellow Sweets, Inc. dba Jaafer Sweets",4825 N. Kedzie Ave.,Lawrence/Kedzie,10/27/2016,20000.00,15000.00,remove existing hot water heater and replace with a new hot water heater; furnish and install one new three compartment sink and new faucet in kitchen; remove and replace ceiling tiles; furnish and install eight (8) new fluorescent light fixtures; install new commercial grade vent cover and louvers; furnish and install steel backsplash
"Gold Leaf Design Group, Inc. ",1300 S. Kostner Ave.,Roosevelt/Cicero,10/27/2016,80940.00,34301.99,"a complete roof tear off and replacement over a section of the main roof above warehouse and a lower level roof section including the removal of gravel, repairs and replacement to decking and hardware as needed, installation of new roofing insulation, new 60 mil TPO roofing membrane, and new flashings to seal around perimeter, at parapet walls, and at roof drains"
Baderbrau LLC,2515 S. Wabash Ave.,Bronzeville,10/28/2016,481191.26,75000.00,"completion of the plumbing improvements and concrete work done in connection with the production brewery portion of the build-out at 2515 S. Wabash: coring for new floor penetrations and excavation for underground plumbing service; saw cutting and concrete removal for underground trenches; all domestic water service and sanitary waste piping as needed; concrete for production area slab flooring; concrete removal and replacement components of phase II work scope; plumbing and sewerage components of phase II work scope; furnish and install duct work for HVAC distribution; furnish and install new storefront systems (frames, glass, and doors) and new perimeter windows"
"Sweet Attila's - A Bake Shop, LLC dba The Growling Rabbit ",5938-40 N. Broadway ,Hollywood/Sheridan,11/01/2016,42000.00,25000.00,"rough electrical, rough plumbing, framing, ductwork, partial drywall, and installation of kitchen exhaust hoods."
"Midway Pro Auto, Inc.",4823 W. 63rd St.,Archer/Central,11/01/2016,24833.73,18625.30,"installation of one (1) commercial garage door opener with a three button station attachment; installation of three (3) new windows including creating three (3) openings along the cinderblock wall, installation of new steel lintels, flashings, and limestone sills, and installation of 2x4 ½ aluminum framing systems; and architectural services



"
"Liquid NSB, LLC dba Car Care Auto Spa",3616 N. Cicero Ave.,Belmont/Cicero,11/04/2016,143234.00,50000.00,"installation of a new garage door in the front of the building; installation of drywall throughout the waiting room area, restrooms, office, and mechanical room; new lighting fixtures; installation of new plumbing finishes; installation of two (2) glass windows in between the wall of the customer waiting area and wash station area; and painting throughout"
"Chromium Industries, LLC ",4625-53 W. Chicago Ave. ,Northwest Industrial Corridor,11/07/2016,71824.11,35912.05,demolish existing boiler feed water tank and pumps and install a new duplex boiler feed makeup system including associated control systems and wiring expenses; remove and replace seven (7) steam valves on the steam header; and furnish and install one (1) new rolling steel door and associated opener hardware
Michelle Lytle Photography,5517 N. Broadway,Bryn Mawr Broadway,11/14/2016,207746.52,50000.00,"masonry work including brick up of old windows and doors, the existing garage door opening in the rear, tuck-pointing work and repairs to damaged bricks as needed, new framing, installation of electrical boxes and conduit, new sewer and water lines, doors and windows."
"Patrick Mechanical, Incorporated ",5825-29 W. Irving Park Rd. ,West Irving Park,11/21/2016,20050.00,15037.50,"installation of two (2) store front systems, installation of five (5) insulated glass windows with two (2) new commercial grade metal doors"
"All The Trimmings, Inc. ","4500, 4504, 4508 S. Ashland Ave.",47th/Ashland,11/23/2016,144100.00,100000.00,"of tuck pointing along the south, north, and west elevations, and of the interior masonry wall; installation of new subflooring and vinyl tile flooring; installation of new metal framing, insulation and 2X2 tiles for drop ceiling; restroom improvements including new ADA components, new plumbing and electrical systems and fixtures; installation of three (3) HVAC units with new duct work and two (2) new water heaters; replacement of the rear door with a commercial metal door; installation of new thermal windows and electric sliding doors; replacement of a new roof with new insulation, flashings, and gutters and down spouts; painting and finishing work. "
"Chicago Legal Clinic, Inc. ",2938 E. 91st St.,Commercial Avenue,11/28/2016,133394.00,100000.00,"masonry repairs on west and north elevations including rebuilding the south end of the west elevation parapet wall, installing new steel lintels, tuckpointing the interior of the parapet, tuckpointing on upper section of north elevation, and restoration of limestone door sills at front entry; roofing repairs to refurbish the existing roofing system including application of an aluminized roof coating"
"Baja Foods, LLC",636 W. Root St.,Stockyard Annex,12/01/2016,100410.20,50205.10,"remove all brick from flooring in tamale and burrito production rooms, patch with epoxy mortar, diamond grind and shot blast area, and apply a thermal-crete trowel down system with a 1/4"" thickness to finish and seal"
Juhahm Foods Corporation dba DAK Korean Wings,1104 W. Granville Ave.,Hollywood/Sheridan,12/08/2016,81000.00,50000.00,interior alterations to enlarge the existing kitchen as follows: demolition of interior spaces as needed; construct new walls (metal framing and finishing) for reconfigured existing restroom and walk-in freezer and cooler area and for a new second restroom; furnish and install new restroom doors; install new water-resistant plank flooring system in dining room area; install new oak base in areas of new floor; labor expenses for the installation of new light fixtures; furnish and install a new permanent walk-in cooler and freezer system; associated improvements to the natural gas piping in connection with the project; and painting in connection with interior improvements
4Get Me Not Florist,5535-9 W. Montrose Ave.,West Irving Park,12/12/2016,79147.90,52892.50,"cut openings for two (2) new skylights and new double window in back room  area and install new window and skylights; furnish and install one (1) metal door between back room and rear/garage area (including labor and materials for reconfiguring opening and installation of new lintels); construct a new opening for and furnish and install a new service door at rear/garage area and brick installation at former openings; furnish and install two (2) new exterior metal doors at rear elevation for 5535 and 5537 W. Montrose commercial units; demolition of existing cabinets and countertops in kitchen area; remove existing flooring in back room; replace concrete floor in the back room (demolition and excavation; install new drainage tiles; install compacted aggregate, insulation, and wire mesh; pour new concrete slab; install epoxy flooring finish); install two (2) new columns in back room/garage area after leveling floor; frame-out new mechanicals room and install two (2) new furnaces and associated duct work; install new electrical receptacles, emergency light, and exit sign; install new insulation for the back room/garage area; install drywall in middle room/kitchen as needed; install drywall in back room area; labor to install new cabinets and counters; and painting of back room/garage in connection with other projects"
Japanese American Service Committee of Chicago,4427 N. Clark St.,Clark/Montrose,12/12/2016,56771.00,41612.50,"masonry repairs to the Clark Street/west façade elevation (grind out/demolish existing masonry as needed; install 12 new window lintels and 1 new door lintel; tuck point the entire facade elevation as needed; rebuild approx. 50' x 3.5' sections of displaced masonry at parapet of façade elevation); power washing of facade elevation; chimney restoration (grind out and re-point masonry joints); associated scaffolding expenses; and removal and replacement of four (4) storefront doors, glass, and frames"
"All Weather Specialist, Inc.",214 W. 119th St.,119th/Halsted,12/13/2016,61256.00,45942.00,"exterior work including masonry repairs and tuckpointing around building and to garage, new overhead door for garage (used as storage facility), new exterior doors in rear and at side entrance; interior build out of office space including new framing, repairs to damaged drywall and installation of new drywall for new walls, insulation, new acoustical drop ceiling, new flooring (vinyl and commercial tile), new doors; electrical work including upgrades to circuit panel, new outlets and light fixtures; new plumbing fixtures for expanded restroom; installation of new furnace and condensing unit in basement; repairs to concrete foundation in basement; painting and finishing work for new office space; architectural services and permit fees"
"Vector Custom Fabricating, Inc.",2128 W. Fulton St.,Kinzie Industrial Corridor,12/14/2016,35128.00,17564.00,"new roofing for approx. 5,530 sq. ft. of the roof: demolition of existing roofing to decking; install insulation and new TPO roofing membrane; install new flashings, pitch pans, termination bars; and new drain inserts"
"Platt Luggage, Inc.",4051 W. 51st St.,63rd/Pulaski,12/14/2016,40495.00,20247.50,"roofing work over office including removal of gravel, repairs to roof surface, installation of insulation board and modified bitumen membrane to seal, installation of new flashings around perimeter, curbs, and penetrations, and installation of new galvanized gutters and downspouts"
"Ideal Real Estate, LLC",9725 S. Western Ave.,Western/Rock Island,12/15/2016,26200.00,19282.50,"tear off and replace roof including new insulation, rubber membrane, and aluminum coating; tuckpointing on south parapet wall and on east elevation in rear of building; install four (4) new double hung windows on upper façade; replace storefront window with new laminate glass and replace windows in front entry doors including new mail slots; replace water damaged furnace doors and drywall in interior of building; install new intercom buzzer system at front entries and on second floor; install new commercial awning (frame only – vinyl cover not included); permit fees"
The Chicago Ballet,"4041 N. Milwaukee Ave, 4th FL",Irving/Cicero,12/15/2016,99473.00,50000.00,"a complete build out of a ballet studio including installation of new exterior window frames and glass on 4th floor of front façade; HVAC improvements (new rooftop unit, extension of existing ductwork); electrical work including new wiring, conduit, and new light fixtures; plumbing work including piping for two new restrooms, fixtures for restroom and mop sink in janitorial closet; gas piping; carpentry and framing work for new layout (offices, studios, two restrooms with partitions) including doors and hardware, acoustical drop ceilings, insulation, new drywall; ceramic tile flooring for new restrooms and laminate flooring in common areas (sprung flooring in studio space not included); painting and finishing"
Moody Tongue Brewing Company,2136 S. Peoria St.,Pilsen Industrial Corridor,12/19/2016,469820.00,92150.00,"re-work front entry for handicap accessibility including installation of new framing for vestibule, walls, ceiling, and front door; demolish existing concrete pad at entryway and construct new ADA-compliant concrete ramp; construct ADA compliant restrooms including concrete work, carpentry and framing work, plumbing and electrical, and finishing work; install two (2) new rooftop HVAC units (7.5 ton and 20 ton units), ductwork, and associated roof patching and all electrical connections"
"Chicago Glass Block, Inc. ",6036 S. Central Ave. ,Archer/Central,12/19/2016,27650.00,20737.50,"tear-off roofing down to wood decking, installation of white granulated modified bitumen roofing membrane over insulation, heat welded and flashed, installation of termination bars, pitch pans, new lead soil stacks, galvanized slip flashing to be installed around each skylight and installation of a prefinished 24 gauge metal edge flashing around perimeter of upper and lower roof sections"
Neal Keller dba Let's Boogie Records and Tapes,3321 S. Halsted St.,35th/Halsted,12/22/2016,56509.00,42381.75,"tear off and replace roof with new insulation, an aluminum silver coating, and termination bars along parapet walls; install galvanized gutter and downspout; install new furnace including associated ductwork; tuck-point north elevation wall, remove concrete plaster and install new bricks as needed; permit fees and finishing work"
Gilbert Spring Corporation,2301-17 N. Knox Ave.,Northwest Industrial Corridor,12/22/2016,87097.00,43548.50,"the following masonry repairs to the north, south, and east elevations of 2301 N. Knox: remove all loose/fractured masonry; tuck point; remove and replace deteroriated common bricks as needed; install CMU bricks to infill east elevation window openings; install common brick to infill three openings at south elevation; the following masonry repairs to the west elevation: remove all loose/fractured masonry; tuck point; install face bricks to infill two windows; demolish deteriorated concrete and brick at basement door and rebuild with common brick; and remove and replace the skylights (remove existing corrugated fiberglass and framing; install new sill flashing at base; install new blocking at the top of the opening; install new window panels with extruded framing; install new flashings; and caulk and seal)"
